Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26589677,10/30/2013 11:30:08 PM,10/31/2013 01:28:21 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10030,125 WEST 133 STREET,WEST 133 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:30:08 AM,10/31/2013 01:28:21 AM,10 MANHATTAN,MANHATTAN,1000006,235612,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81336222318174,-73.94307995011837,"(40.81336222318174, -73.94307995011837)"
26589854,10/30/2013 11:28:32 PM,,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,11418,135-16 JAMAICA AVENUE,JAMAICA AVENUE,METROPOLITAN AVENUE,VAN WYCK EXPRESSWAY,,,ADDRESS,RICHMOND HILL,,Precinct,Open,10/31/2013 07:28:32 AM,,09 QUEENS,QUEENS,1034900,195238,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70241501845674,-73.81732645592662,"(40.70241501845674, -73.81732645592662)"
26592983,10/30/2013 11:26:58 PM,10/31/2013 01:28:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,199 BOWERY,BOWERY,SPRING STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:26:58 AM,10/31/2013 01:28:20 AM,03 MANHATTAN,MANHATTAN,985996,202011,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72115007705841,-73.99370113648965,"(40.72115007705841, -73.99370113648965)"
26595028,10/30/2013 11:26:37 PM,10/31/2013 01:38:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009,540 EAST 11 STREET,EAST 11 STREET,AVENUE A,AVENUE B,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:26:37 AM,10/31/2013 01:38:59 AM,03 MANHATTAN,MANHATTAN,989576,204512,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72801328424042,-73.98078396198055,"(40.72801328424042, -73.98078396198055)"
26594653,10/30/2013 11:26:32 PM,10/31/2013 12:18:54 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11222,,,,,DOBBIN STREET,NORMAN STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,10/31/2013 07:26:32 AM,10/31/2013 12:18:54 AM,01 BROOKLYN,BROOKLYN,996925,203271,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.724599563793525,-73.95427134534344,"(40.724599563793525, -73.95427134534344)"
26594468,10/30/2013 11:25:00 PM,,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10024,268 WEST 77 STREET,WEST 77 STREET,BROADWAY,WEST END AVENUE,,,ADDRESS,NEW YORK,,N/A,Open,,,07 MANHATTAN,MANHATTAN,989367,224459,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.78276284371809,-73.98152284682669,"(40.78276284371809, -73.98152284682669)"
26595789,10/30/2013 11:24:40 PM,10/31/2013 01:51:33 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458,2313 BELMONT AVENUE,BELMONT AVENUE,EAST 183 STREET,CRESCENT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,10/31/2013 07:24:40 AM,10/31/2013 01:51:33 AM,06 BRONX,BRONX,1015519,250080,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85303139531426,-73.88697036576089,"(40.85303139531426, -73.88697036576089)"
26592031,10/30/2013 11:24:04 PM,10/31/2013 02:06:11 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10013,11 DOYERS STREET,DOYERS STREET,BEND,PELL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,10/31/2013 07:24:04 AM,10/31/2013 02:06:11 AM,03 MANHATTAN,MANHATTAN,984769,199589,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71450242561791,-73.99812784414995,"(40.71450242561791, -73.99812784414995)"
26592036,10/30/2013 11:23:20 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Mixed Use Building,11249,333 KENT AVENUE,KENT AVENUE,SOUTH 4 STREET,SOUTH 5 STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,11/29/2013 11:23:20 PM,10/30/2013 11:25:36 PM,01 BROOKLYN,BROOKLYN,993267,199095,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71314193383838,-73.96747420978451,"(40.71314193383838, -73.96747420978451)"
26589784,10/30/2013 11:22:25 PM,10/31/2013 02:15:36 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11420,133-16 116 STREET,116 STREET,133 AVENUE,135 AVENUE,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,10/31/2013 07:22:25 AM,10/31/2013 12:43:47 AM,10 QUEENS,QUEENS,1033298,184361,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67256923374257,-73.82318337358244,"(40.67256923374257, -73.82318337358244)"
26595431,10/30/2013 11:22:00 PM,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10003,210 EAST 15 STREET,EAST 15 STREET,3 AVENUE,RUTHERFORD PLACE,,,ADDRESS,NEW YORK,,N/A,Open,,,06 MANHATTAN,MANHATTAN,988088,206601,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73374784826663,-73.98615142682425,"(40.73374784826663, -73.98615142682425)"
26591037,10/30/2013 11:20:57 PM,10/31/2013 02:16:39 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11417,133-40 85 STREET,85 STREET,133 AVENUE,135 AVENUE,,,ADDRESS,OZONE PARK,,Precinct,Closed,10/31/2013 07:20:57 AM,10/31/2013 12:43:48 AM,10 QUEENS,QUEENS,1025545,184675,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67347065165803,-73.8511307325341,"(40.67347065165803, -73.8511307325341)"
26592954,10/30/2013 11:20:26 PM,10/31/2013 01:18:56 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11365,197-05A 65 CRESCENT,65 CRESCENT,BEND,67 AVENUE,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,10/31/2013 07:20:26 AM,10/31/2013 01:18:56 AM,08 QUEENS,QUEENS,1046083,208946,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73996897148448,-73.7768682381755,"(40.73996897148448, -73.7768682381755)"
26594850,10/30/2013 11:19:00 PM,,DOT,Department of Transportation,Traffic Signal Condition,Post,,10312,,,,,HYLAN BOULEVARD,ARDEN AVENUE,INTERSECTION,STATEN ISLAND,,N/A,Open,,,03 STATEN ISLAND,STATEN ISLAND,939396,132183,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.529373733559744,-74.16135093979543,"(40.529373733559744, -74.16135093979543)"
